Organism Name,# of essential genes,NCBI Taxonomy ID
Actinomyces sp. ICM39,383,1105029
Actinomyces sp. ICM47,446,936548
Actinomyces sp. ph3,134,1118058
Actinomyces sp. S4C9,251,1219581
Actinomyces sp. S6Spd3,447,1284680
Actinomyces suimastitidis,475,1120946
Actinomyces timonensis,652,521393
Actinomyces turicensis,170,883077
Actinomyces urogenitalis DSM15434,561,525246
Actinomyces urogenitalis S6C4,216,1284679
Actinomyces vaccimaxillae,485,1120947
Actinomyces viscosus,770,562973
Actinomycetospora chiangmaiensis,2616,1120948
Actinoplanes friuliensis,1006,1246995
Actinoplanes globisporus,4689,1120949
Actinoplanes missouriensis,2787,512565
Actinoplanes sp. N902109,1653,649831
Actinoplanes sp. SE50110,60,134676
Actinoplanes subtropicus,4386,543632
Actinoplanes utahensis,3205,1869
Actinopolymorpha alba,2668,1120950
Actinopolyspora erythraea,857,414996
Actinopolyspora halophila,1772,1089546
Actinopolyspora mortivallis,1329,1050202
Actinosporangium sp. NRRLB3428,3542,1463820
Actinosynnema mirum,1114,446462
Adlercreutzia equolifaciens,376,1384484
Advenella kashmirensis W13003,2107,1424334
Advenella mimigardefordensis,942,1247726
Aeromicrobium marinum,1096,585531
Aeromicrobium massiliense,851,1033730
Aeromonas diversa,1890,1268237
Aeromonas hydrophila ATCC7966,1317,380703
Aeromonas hydrophila YL17,1293,1448139
Aeromonas salmonicida,1311,382245
Aeromonas sp. AE122,1986,558884
Aeromonas veronii,1247,998088
Aestuariibacter salexigens,1602,1120953
Aestuariimicrobium kwangyangense,645,1120954
Afifella pfennigii,1254,1120956
Afipia birgiae,1390,1197906
Afipia broomeae,1672,883078
Afipia felis,1387,883080
Afipia sp. 1NLS2,1358,666684
Afipia sp. OHSUIC4,1663,1297863
Afipia sp. P5210,1793,1429916
Aggregatibacter actinomycetemcomitans D7S1,509,694569
Aggregatibacter actinomycetemcomitans HK1651,558,272556
Aggregatibacter actinomycetemcomitans RhAA1,475,1089447
Aggregatibacter aphrophilus,520,634176
Agrobacterium albertimagni,1872,1156935
Agrobacterium fabrum,170,176299
Agrobacterium radiobacter,1731,311403
Agrobacterium rhizogenes,1774,359
Agrobacterium sp. H133,1351,861208
Agrobacterium tumefaciens CCNWGS0286,1382,1082932
Agrobacterium tumefaciens Cherry,2033,1281779
Agrobacterium vitis,1489,311402
Agrococcus lahaulensis,475,1120958
Agromyces italicus,584,1120959
Agromyces subbeticus,1341,1120960
Ahrensia sp. 13GOM1096m,1130,1380380
Ahrensia sp. R2A130,1329,744979
Akkermansia muciniphila,251,349741
Alcaligenes faecalis,755,511
Alcanivorax borkumensis,619,393595
Alcanivorax dieselolei,911,930169
Alcanivorax hongdengensis,1043,1177179
Alcanivorax jadensis,1069,1177181
Alcanivorax sp. 19m6,1317,1177154
Alcanivorax sp. 43BGOM46m,1692,1380387
Alcanivorax sp. DG881,1057,236097
Alcanivorax sp. P2S70,1297,1397527
Algicola sagamiensis,1413,1120963
Algiphilus aromaticivorans,1260,1415780
Aliagarivorans taiwanensis,1813,1120970
Alicycliphilus denitrificans BC,1565,596153
Alicycliphilus denitrificans K601,1707,596154
Aliihoeflea sp. 2WW,1441,1381123
Aliivibrio salmonicida,967,316275
Alishewanella agri,1332,1195246
Alishewanella jeotgali,1390,1129374
Alkalilimnicola ehrlichii,713,187272
Alkanindiges illinoisensis,618,1120977
Allochromatium vinosum,1112,572477
Allokutzneria albata,1589,211114
Alloscardovia omnicolens,135,1120979
alpha proteobacterium BAL199,2786,331869
alpha proteobacterium HIMB114,139,684719
alpha proteobacterium HIMB5,396,859653
alpha proteobacterium HIMB59,452,744985
alpha proteobacterium IMCC14465,203,1220535
alpha proteobacterium JLT2015,1111,1234595
alpha proteobacterium L41A,1144,1229204
alpha proteobacterium MA2,1574,1333998
alpha proteobacterium Mf 105b01,1364,1282876
alpha proteobacterium RS24,212,1397666
Alphaproteobacterium SAR116,581,909943
Alteromonadales bacterium TW7,1697,156578
Alteromonas australica,1258,589873
Alteromonas macleodii Black,1313,1004785
Alteromonas macleodii Deep,1270,314275
Alteromonas sp. ALT199,1590,1298865
Alteromonas sp. LOR,1866,1537994
Alteromonas sp. SN2,1391,715451
Alysiella crassa,409,1120980
Aminobacter sp. J41,1686,935261
Amorphus coralli,956,1120983
Amphritea japonica,1496,1278309
Amycolatopsis balhimycina,4028,1089545
Amycolatopsis benzoatilytica,823,1089544
Amycolatopsis japonica,1583,208439
Amycolatopsis jejuensis,4448,330084
Amycolatopsis mediterranei,3182,749927
Amycolatopsis methanolica,2172,1068978
Amycolatopsis nigrescens,2544,1068980
Amycolatopsis orientalis,3276,1125971
Amycolatopsis rifamycinica,3657,287986
Amycolatopsis vancoresmycina,4233,208444
Amycolicicoccus subflavus,1454,443218
Anabaena cylindrica,1139,272123
Anabaena sp. 90,796,46234
Anabaena sp. PCC7108,2086,163908
Anabaena variabilis,762,240292
Anaerobiospirillum succiniciproducens,557,1120988
Anaeromyxobacter dehalogenans,1682,290397
Anaeromyxobacter sp. Fw1095,1469,404589
Anaplasma centrale,173,574556
Anaplasma marginale Florida,173,320483
Anaplasma marginale Maries,173,234826
Anaplasma phagocytophilum,187,212042
Andreprevotia chitinilytica,2164,1120999
Aquabacterium sp. NJ1,1527,1538295
Aquamicrobium defluvii,1911,69279
Aquaspirillum serpens,1437,1121004
Aquiluna sp. IMCC13023,121,1081644
Arcanobacterium haemolyticum,341,644284
Arcanobacterium sp. S3PF19,198,1219585
Arcobacter butzleri ED1,511,944546
Arcobacter butzleri RM4018,534,367737
Arcobacter cibarius,839,1442598
Arcobacter nitrofigilis,930,572480
Arcobacter sp. AF1028,906,1355368
Arcobacter sp. AF1440,1066,1355374
Arcobacter sp. L,1032,944547
Arenimonas composti,1165,1121013
Arenimonas malthae,1296,1384054
Arenimonas metalli,1119,1384056
Arenimonas oryziterrae,1144,1121015
Aromatoleum aromaticum,993,76114
Arsenicicoccus bolidensis,1164,1121017
Arsenophonus endosymbiont,853,1247024
Arthrobacter arilaitensis,502,861360
Arthrobacter aurescens,1014,290340
Arthrobacter castelli,1317,1121019
Arthrobacter chlorophenolicus,753,452863
Arthrobacter gangotriensis,1329,1276920
Arthrobacter globiformis,1906,1077972
Arthrobacter nicotinovorans,1527,1304876
Arthrobacter phenanthrenivorans,553,930171
Arthrobacter sanguinis,598,1121020
Arthrobacter sp. 135MFCol51,1564,1158050
Arthrobacter sp. 161MFSha21,1279,1151118
