Organism Name,# of essential genes,NCBI Taxonomy ID
Microbulbifer variabilis,1286,1279017
Microchaete sp. PCC7126,1973,643473
Micrococcus luteus NCTC 2665,282,465515
Microcoleus sp. PCC7113,1540,1173027
Microcoleus vaginatus,1764,756067
Microcystis aeruginosa,596,449447
Microlunatus phosphovorus,858,1032480
Micromonospora aurantiaca,1507,644283
Micromonospora chokoriensis,2416,356851
Micromonospora lupini,2851,1150864
Micromonospora parva,2609,1464048
Micromonospora sp. ATCC39149,2622,219305
Microtetraspora glauca,3346,1996
Microthrix parvicella,1205,1229780
Microvirga aerilata,956,670292
Microvirga flocculans,1489,1336243
Microvirga lotononidis,2711,864069
Microvirga lupini,4102,420324
Mobilicoccus pelagius,946,1089455
Mobiluncus curtisii ATCC35241,486,585198
Mobiluncus curtisii ATCC43063,380,548479
Mobiluncus mulieris 281,619,596328
Mobiluncus mulieris ATCC35243,563,585199
Modestobacter marinus,1133,477641
Moorea producens,2739,489825
Moranella endobia,176,903503
Moraxella boevrei,560,1122243
Moraxella bovoculi,408,743974
Moraxella caprae,448,1122244
Moraxella catarrhalis,375,857571
Moraxella macacae,323,1230338
Morganella morganii,888,1124991
Moritella dasanensis,424,1201293
Moritella marina,1889,1202962
Mucispirillum schaedleri,454,1379858
Mycetocola saprophilus,800,76636
Mycobacterium abscessus,1409,36809
Mycobacterium aromaticivorans,2571,1440774
Mycobacterium asiaticum,2783,1265310
Mycobacterium avium avium,2466,44454
Mycobacterium avium paratuberculosis,2342,262316
Mycobacterium chubuense,2485,710421
Mycobacterium colombiense,2365,1041522
Mycobacterium cosmeticum,2552,258533
Mycobacterium genavense,2136,1408452
Mycobacterium gilvum,2302,350054
Mycobacterium hassiacum,2060,1122247
Mycobacterium intracellulare,2614,487521
Mycobacterium iranicum,2633,1370125
Mycobacterium kansasii 732,3038,1299327
Mycobacterium kansasii ATCC12478,2312,557599
Mycobacterium leprae,244,272631
Mycobacterium mageritense,3392,1209984
Mycobacterium marinum,1666,216594
Mycobacterium neoaurum,1460,700508
Mycobacterium parascrofulaceum,2751,525368
Mycobacterium phlei,2721,1150599
Mycobacterium rhodesiae JS60,3363,931627
Mycobacterium rhodesiae NBB3,2843,710685
Mycobacterium rufum,2736,318424
Mycobacterium septicum,2947,1341646
Mycobacterium smegmatis JS623,1159,710686
Mycobacterium smegmatis MC2155,3010,246196
Mycobacterium sp. 141,1580,1120797
Mycobacterium sp. 155,1606,1157943
Mycobacterium sp. 360MFTsu51,2546,1172186
Mycobacterium sp. JDM601,1961,875328
Mycobacterium sp. JLS,2591,164757
Mycobacterium sp. UMWGJ,1995,1370120
Mycobacterium sp. UMWWY,2846,1370121
Mycobacterium sp. UNC280MFTsu51,2164,1449048
Mycobacterium sp. URHB0044,3269,1380386
Mycobacterium sp. URHD0025,2684,1298864
Mycobacterium thermoresistibile,2316,1078020
Mycobacterium triplex,3334,47839
Mycobacterium tuberculosis H37Ra,1424,419947
Mycobacterium tuberculosis H37Rv,441,83332
Mycobacterium tusciae,2881,710687
Mycobacterium ulcerans,1687,362242
Mycobacterium vaccae,3025,1194972
Mycobacterium vanbaalenii,2793,350058
Mycobacterium vulneris,2979,547163
Myxococcus fulvus,2742,483219
Myxococcus sp.,2186,1297742
Myxococcus stipitatus,2610,1278073
Myxococcus xanthus,2745,246197
Myxosarcina sp. GI1,2038,1541065
Nakamurella multipartita,1052,479431
Nautilia profundicola,368,598659
Neisseria cinerea,373,546262
Neisseria flavescens NRL30031H210,435,546264
Neisseria flavescens SK114,387,596320
Neisseria lactamica,359,489653
Neisseria mucosa ATCC25996,423,546266
Neisseria mucosa C102,422,435832
Neisseria polysaccharea,382,546267
Neisseria sicca,386,547045
Neisseria sp. F0314,645,641149
Neisseria subflava,416,546268
Neisseria weaveri,410,1051985
Neorhizobium galegae officinalis,1727,1028801
Neorhizobium galegae orientalis,1572,1028800
Neorickettsia risticii,175,434131
Neorickettsia sennetsu,174,222891
Neptuniibacter caesariensis,1834,207954
Neptunomonas japonica,2048,1122599
Nesterenkonia alba,241,1122602
Nesterenkonia sp. F,549,795955
Nesterenkonia sp. NP1,442,1232429
Nevskia ramosa,1722,1122603
Nevskia soli,1873,1122604
Nitratifractor salsuginis,441,749222
Nitratireductor aquibiodomus,2204,1231185
Nitratireductor basaltis,1023,472175
Nitratireductor indicus,1845,1231190
Nitratireductor pacificus,1429,391937
Nitratiruptor sp. SB1552,418,387092
Nitrobacter hamburgensis,783,323097
Nitrobacter winogradskyi,557,323098
Nitrococcus mobilis,810,314278
Nitrosococcus halophilus,990,472759
Nitrosococcus oceani,651,323261
Nitrosococcus watsonii,764,105559
Nitrosomonas cryotolerans,737,1131553
Nitrosomonas europaea,492,228410
Nitrosomonas eutropha,508,335283
Nitrosomonas sp. AL212,518,153948
Nitrosomonas sp. Is79A3,712,261292
Nitrosospira briensis,1049,1266925
Nitrosospira multiformis,633,323848
Nitrosospira sp. APG3,529,1288494
Nocardia aobensis,2864,1206720
Nocardia asteroides,2554,1110697
Nocardia brasiliensis,2769,1133849
Nocardia brevicatena,2747,1206725
Nocardia carnea,2666,1206726
Nocardia concava,3407,1206741
Nocardia cyriacigeorgica,1787,1127134
Nocardia exalbida,2749,1206729
Nocardia farcinica,2010,247156
Nocardia higoensis,1638,1206730
Nocardia jiangxiensis,4673,1206731
Nocardia niigatensis,3204,1206733
Nocardia nova,3554,1415166
Nocardia otitidiscaviarum,1687,1206732
Nocardia pneumoniae,2866,1206737
Nocardia rhamnosiphila,2810,426716
Nocardia sp. 348MFTsu51,381,1172185
Nocardia sp. BMG111209,1166,1160137
Nocardia sp. BMG51109,3050,1056816
Nocardia sp. CNY236,1982,1169152
Nocardia takedensis,3178,1206735
Nocardia testacea,2859,1206739
Nocardia transvalensis,3601,1206744
Nocardia veterana,2359,1206743
Nocardioidaceae bacterium Broad1,2069,408672
Nocardioides halotolerans,1882,1122609
Nocardioides sp. CF8,1440,110319
Nocardioides sp. Iso805N,1482,1283287
Nocardioides sp. J54,1758,935866
Nocardioides sp. JS614,1505,196162
Nocardiopsis alba,952,1205910
Nocardiopsis baichengensis,2247,1236902
Nocardiopsis dassonvillei,1068,446468
Nocardiopsis ganjiahuensis,2421,1237500
Nocardiopsis kunsanensis,1701,1246445
Nocardiopsis potens,2392,570268
Nocardiopsis prasina,2345,1245475
Nocardiopsis sp. CNT312,1643,1137268
Nocardiopsis valliformis,53,1246448
Nocardiopsis xinjiangensis,1804,1246474
Nodosilinea nodulosa,2399,118166
Nodularia spumigena,2109,313624
Nonomuraea coxensis,3770,1122611
Nostoc azollae,448,551115
Nostoc punctiforme,1422,63737
Nostoc sp. PCC7107,1096,317936
Nostoc sp. PCC7524,1125,28072
Novispirillum itersonii,2063,1279038
Novosphingobium acidiphilum,1144,1122612
Novosphingobium aromaticivorans,748,279238
Novosphingobium lindaniclasticum,1876,1096930
Novosphingobium nitrogenifigens,1502,983920
Novosphingobium pentaromativorans,1199,1088721
Novosphingobium resinovorum,1551,158500
Novosphingobium sp. AP12,1964,1144305
Novosphingobium sp. PP1Y,1121,702113
Novosphingobium sp. Rr 217,1664,555793
Novosphingobium tardaugens,1393,1219035
Oceanibaculum indicum,1577,1207063
Oceanibulbus indolifex,1746,391624
Oceanicaulis alexandrii,1152,1122613
Oceanicaulis sp. HL87,910,1479238
Oceanicaulis sp. HTCC2633,1094,314254
Oceanicola batsensis,1299,252305
Oceanicola granulosus,1555,314256
Oceanicola nanhaiensis,2170,1122614
Oceanicola sp. 22IIS11g,1953,1461694
Oceanicola sp. HL35,1449,1305735
Oceanicola sp. MCTG156,1344,1415756
Oceanimonas smirnovii,1327,1279015
Oceanimonas sp. GK1,990,511062
Oceaniovalibus guishaninsula,570,1231392
Oceanithermus profundus,488,670487
Ochrobactrum anthropi,895,439375
Ochrobactrum rhizosphaerae,1867,1437448
Octadecabacter antarcticus,842,391626
Octadecabacter arcticus,836,391616
Odyssella thessalonicensis,290,985867
Oerskovia turbata,1052,1713
Oligella ureolytica,648,1122619
Oligella urethralis,503,1401065
Oligotropha carboxidovorans,691,504832
Olsenella profusa,870,1125712
Olsenella sp. F0356,320,661087
Olsenella uli,325,633147
Opitutaceae bacterium TAV5,950,794903
Opitutus terrae,1508,452637
Orientia tsutsugamushi,148,357244
Ornithinimicrobium pekingense,1243,1122622
Oscillatoria acuminata,1650,56110
Oscillatoria nigroviridis,1187,179408
Oscillatoria sp. PCC10802,3110,1173028
Oscillatoriales cyanobacterium,2001,864702
Oxalobacter formigenes HOxBLS,148,556268
Oxalobacter formigenes OXCC13,395,556269
Paenirhodobacter enshiensis,961,1105367
Pandoraea pnomenusa,941,93220
Pandoraea sp. SD62,2554,1286093
Pannonibacter phragmitetus,1105,1122929
Pantoea agglomerans,1240,549
Pantoea ananatis AJ13355,1152,932677
Pantoea ananatis LMG20103,899,706191
Pantoea rwandensis,1155,1076550
Pantoea sp. A4,1883,1225184
Pantoea sp. aB,1705,517433
Pantoea sp. At9b,1192,592316
Pantoea sp. IMH,1473,1267600
Pantoea sp. PSNIH1,912,1484158
Pantoea sp. PSNIH2,1031,1484157
Pantoea sp. Sc1,888,593105
Pantoea stewartii,989,66269
Pantoea vagans,1096,712898
Paracaedibacter acanthamoebae,193,91604
Paracaedibacter symbiosus,502,244582
Paracoccus aminophilus,751,1367847
Paracoccus denitrificans,1114,318586
Paracoccus halophilus,1085,376733
Paracoccus pantotrophus,2116,935565
Paracoccus sp. 4681,800,1525715
Paracoccus sp. J39,2054,935848
Paracoccus sp. N5,1487,1101189
Paracoccus sp. PAMC22219,1848,1569209
Paracoccus sp. TRP,1515,412597
Paracoccus versutus,1652,34007
Paracoccus yeei,814,1446473
Paracoccus zeaxanthinifaciens,942,1266998
Paraoerskovia marina,864,1122933
Parascardovia denticolens DSM10105,160,864564
Parascardovia denticolens IPLA20019,144,1193128
Parasutterella excrementihominis,658,762966
Parvibaculum lavamentivorans,1142,402881
Parvularcula bermudensis,441,314260
Parvularcula oceani,1165,1247963
Pasteurella bettyae,508,1095749
Pasteurella multocida,568,747
Pasteurella pneumotropica,511,758
Patulibacter americanus,1635,1122939
Patulibacter minatonensis,1507,929712
Pectobacterium atrosepticum,626,218491
Pectobacterium betavasculorum,1570,55207
Pectobacterium carotovorum odoriferum,1028,78398
Pectobacterium carotovorum PC1,1118,561230
Pectobacterium sp. SCC3193,2075,1166016
Pectobacterium wasabiae,1160,561231
Pelagibaca bermudensis,2158,314265
Pelagibacter sp. HTCC7211,154,439493
Pelagibacter sp. IMCC9063,273,1002672
Pelagibacter ubique HIMB058,121,1144932
Pelagibacter ubique HIMB083,152,1096769
Pelagibacter ubique HTCC1062,371,335992
Pelagibacter ubique HTCC7214,140,1400524
Pelagibacter ubique HTCC7217,142,1400525
Pelagibacter ubique HTCC8051,150,466038
Pelagibacter ubique HTCC9022,167,1265756
Pelagibacterium halotolerans,794,1082931
Pelobacter carbinolicus,809,338963
Pelobacter propionicus,1341,338966
Perlucidibaca piscinae,503,1122951
Phaeobacter gallaeciensis,750,1423144
Phaeobacter inhibens,668,391619
Phaeospirillum fulvum,1803,1316936
Phaeospirillum molischianum,1731,1150626
Phenylobacterium zucineum,1044,450851
Photobacterium angustum,1923,314292
Photobacterium aphoticum,3312,754436
Photobacterium damselae,1066,675817
Photobacterium leiognathi lrivu41,1876,1248232
Photobacterium leiognathi mandapamensis,1864,1001530
Photobacterium phosphoreum,1844,1454202
Photobacterium profundum,684,298386
Photodesmus blepharus,405,1179155
Photodesmus katoptron,379,28176
Photorhabdus asymbiotica,883,291112
Photorhabdus luminescens,907,243265
Phycicoccus jejuensis,1669,367299
Phyllobacterium sp. UNC302MFCol52,1629,1449065
Phyllobacterium sp. YR531,1091,1144343
Pimelobacter simplex,1099,2045
Planktomarina temperata,795,666509
Planktothrix agardhii,1859,388467
Plautia stali,1365,891974
Pleomorphomonas koreensis,1867,1122962
Pleomorphomonas oryzae,124,1122963
Plesiocystis pacifica,2943,391625
Pleurocapsa sp. PCC7319,3030,118161
Pleurocapsa sp. PCC7327,1068,118163
Pluralibacter gergoviae,1376,61647
Polaromonas naphthalenivorans,1009,365044
Polaromonas sp. JS666,1255,296591
Polycyclovorans algicola,1335,1415779
Polymorphum gilvum,1057,991905
Polynucleobacter necessarius asymbioticus,457,312153
Polynucleobacter necessarius STIR1,320,452638
Ponticaulis koreensis,1376,551789
Porphyrobacter cryptus,668,1122970
Porphyrobacter sp. AAP82,514,1248917
Porphyrobacter sp. HL46,958,1479239
Porticoccus hydrocarbonoclasticus,646,1415778
Prauserella rugosa,1887,43354
Prochlorococcus marinus AS9601,344,146891
Prochlorococcus marinus CCMP1375,359,167539
Prochlorococcus marinus GP2,135,59925
Prochlorococcus marinus MIT9107,161,59921
Prochlorococcus marinus MIT9201,152,93057
Prochlorococcus marinus MIT9211,359,93059
Prochlorococcus marinus MIT9215,353,93060
Prochlorococcus marinus MIT9301,337,167546
Prochlorococcus marinus MIT9302,228,74545
Prochlorococcus marinus MIT9312,337,74546
Prochlorococcus marinus MIT9313,397,74547
Prochlorococcus marinus MIT9314,128,167548
Prochlorococcus marinus MIT9322,110,167550
Prochlorococcus marinus MIT9515,341,167542
Prochlorococcus marinus NATL1A,344,167555
Prochlorococcus marinus pastoris,343,59919
Prochlorococcus marinus SB,251,59926
Prochlorococcus sp. MIT0601,135,1499498
Prochlorococcus sp. MIT0602,165,1499499
Prochlorococcus sp. MIT0604,346,1501268
Prochlorococcus sp. MIT0701,310,1499502
Prochlorococcus sp. MIT0801,345,1501269
Prochlorococcus sp. scB241528O2,115,1471459
Prochlorococcus sp. scB245a520K10,146,1471522
Prochlorothrix hollandica,1803,317619
Profftella armatura,146,669502
Promicromonospora kroppenstedtii,1822,926564
Propionibacteriaceae bacterium P6A17,668,1410634
Propionibacterium acidifaciens,403,1122994
Propionibacterium acidipropionici,712,1171373
Propionibacterium acnes HL037PA2,671,765123
Propionibacterium acnes KPA171202,459,267747
Propionibacterium acnes SK182BJCVI,340,1051006
Propionibacterium avidum,500,1170318
Propionibacterium freudenreichii,438,754252
Propionibacterium granulosum,386,1292373
Propionibacterium jensenii,896,1122997
Propionibacterium propionicum,457,767029
Propionibacterium sp. F0372,409,1203605
Propionibacterium thoenii,818,1122998
Propionimicrobium sp. BV2F7,134,1111131
Proteus mirabilis,848,529507
Proteus penneri,2117,471881
Proteus vulgaris,655,585
Providencia alcalifaciens,884,520999
Providencia burhodogranariea,1673,1141662
Providencia rettgeri Dmel1,780,1141663
Providencia rettgeri DSM1131,1766,521000
Providencia rustigianii,1270,500637
Providencia stuartii,991,471874
Pseudaminobacter salicylatoxidans,2286,1192868
Pseudanabaena sp. PCC6802,1897,118173
Pseudanabaena sp. PCC7367,747,82654
Pseudoalteromonas agarivorans,1725,1307437
Pseudoalteromonas atlantica,1286,342610
Pseudoalteromonas citrea,2048,1117314
Pseudoalteromonas haloplanktis ANT505,1787,722419
Pseudoalteromonas haloplanktis ATCC14393,2003,1117315
Pseudoalteromonas haloplanktis TAC125,847,326442
Pseudoalteromonas haloplanktis TB64,1463,1333507
Pseudoalteromonas luteoviolacea,1211,1268239
Pseudoalteromonas rubra,1798,1117318
Pseudoalteromonas ruthenica,1647,1216007
Pseudoalteromonas sp. Bsw20308,1168,283699
Pseudoalteromonas sp. OCN003,1285,1348114
Pseudoalteromonas sp. SM9913,1270,234831
Pseudoalteromonas spongiae,1333,1117319
Pseudoalteromonas tunicata,1185,87626
Pseudoclavibacter soli,164,1123013
Pseudogulbenkiania ferrooxidans,1987,279714
Pseudogulbenkiania sp. NH8B,1272,748280
Pseudomonas aeruginosa,1839,287
Pseudomonas alcaligenes NBRC14159,1228,1215092
Pseudomonas alkylphenolia,1506,237609
Pseudomonas brassicacearum,1767,930166
Pseudomonas caeni,1209,521719
Pseudomonas chlororaphis,1826,587753
Pseudomonas cichorii,1612,1441629
Pseudomonas corrugata,1378,1316927
Pseudomonas cremoricolorata,1041,157783
Pseudomonas denitrificans,1691,1294143
Pseudomonas entomophila,1534,384676
Pseudomonas extremaustralis,3132,1117958
Pseudomonas flectens,457,1336237
Pseudomonas fluorescens F113,3188,1114970
Pseudomonas fluorescens HK44,2485,1042209
Pseudomonas fluorescens NCIMB11764,2888,1221522
Pseudomonas fluorescens NZ007,2972,690597
Pseudomonas fluorescens Pf01,2627,205922
Pseudomonas fluorescens Q287,1646,1038922
Pseudomonas fluorescens SBW25,3182,216595
Pseudomonas fragi,1048,1136138
Pseudomonas fulva,1593,743720
Pseudomonas knackmussii,2026,1301098
Pseudomonas lutea,2292,243924
Pseudomonas luteola,1974,1207076
Pseudomonas mandelii 36MFCvi11,2718,1151127
Pseudomonas mandelii PD30,2722,1419583
Pseudomonas mendocina EGDAQ5,2408,1390370
Pseudomonas mendocina NK01,1870,1001585
Pseudomonas mendocina ymp,1475,399739
Pseudomonas moraviensis,2654,1395516
Pseudomonas mosselii,1739,1388763
Pseudomonas nitroreducens HBP1,3691,1437882
Pseudomonas nitroreducens TX1,2869,1226994
Pseudomonas oleovorans,2592,301
Pseudomonas parafulva,1512,1215114
Pseudomonas pelagia,2060,1323663
Pseudomonas poae,1410,1282356
Pseudomonas protegens CHA0,1841,1124983
Pseudomonas protegens Pf5,1770,220664
Pseudomonas pseudoalcaligenes AD6,2720,1453503
Pseudomonas pseudoalcaligenes CECT5344,1009,1182590
Pseudomonas pseudoalcaligenes KF707,3113,1149133
Pseudomonas psychrophila,1422,1211112
Pseudomonas psychrotolerans,1164,1112217
Pseudomonas putida CSV86,1899,1005395
Pseudomonas putida F1,360,351746
Pseudomonas putida GB1,1501,76869
Pseudomonas putida KT2440,1442,160488
Pseudomonas putida MTCC5279,1007,1240350
Pseudomonas putida NBRC14164,1673,1211579
Pseudomonas putida S16,1468,1042876
Pseudomonas putida W619,1600,390235
Pseudomonas resinovorans DSM21078,2266,1123020
Pseudomonas resinovorans NBRC106553,2248,1245471
Pseudomonas rhizosphaerae,1089,216142
Pseudomonas simiae,2612,321846
Pseudomonas sp. 20BN,1887,1499686
Pseudomonas sp. Ant303,2259,1488328
Pseudomonas sp. BAY1663,2418,1439940
Pseudomonas sp. CF149,2160,911239
Pseudomonas sp. Chol1,2217,440512
Pseudomonas sp. G5,1884,1268068
Pseudomonas sp. GM21,2778,1144325
Pseudomonas sp. H2,2570,658612
Pseudomonas sp. HYS,2673,1163398
Pseudomonas sp. Lz4W,1891,1206777
Pseudomonas sp. M1,2320,95619
Pseudomonas sp. M47T1,3100,1179778
Pseudomonas sp. ML96,2274,1523503
Pseudomonas sp. RIT357,2711,1470593
Pseudomonas sp. RL,1718,1452718
Pseudomonas sp. S9,2176,686578
Pseudomonas sp. TKP,2140,1415630
Pseudomonas sp. URMO17WK12I8,2370,1265490
Pseudomonas sp. UW4,1567,1207075
Pseudomonas sp. VLB120,1411,69328
Pseudomonas stutzeri A1501,1283,379731
Pseudomonas stutzeri ATCC14405,2094,32042
Pseudomonas stutzeri CCUG 29243,1201,1196835
Pseudomonas stutzeri DSM10701,949,1123519
Pseudomonas stutzeri KOS6,2138,1218352
Pseudomonas stutzeri MF28,2524,1333856
Pseudomonas stutzeri NF13,2301,1212548
Pseudomonas stutzeri RCH2,1460,644801
Pseudomonas stutzeri SDMLAC,1340,1109445
Pseudomonas stutzeri TS44,1946,477228
Pseudomonas syringae B728a,1427,205918
Pseudomonas syringae CC1417,2714,1357272
Pseudomonas syringae CC1513,2535,1357275
Pseudomonas syringae CC1557,1005,1357279
Pseudomonas syringae maculicola,2934,629265
Pseudomonas syringae phaseolicola,1389,264730
Pseudomonas syringae tomato,1389,223283
Pseudomonas taeanensis,838,1395571
Pseudonocardia acaciae,4302,1123023
Pseudonocardia asaccharolytica,1890,1123024
Pseudonocardia autotrophica,2808,2074
Pseudonocardia dioxanivorans,2383,675635
Pseudophaeobacter arcticus,1532,999550
Pseudovibrio sp. FOBEG1,1319,911045
Pseudoxanthomonas sp. GW2,1261,1211114
Pseudoxanthomonas spadix,721,1045855
Pseudoxanthomonas suwonensis 111,634,743721
Pseudoxanthomonas suwonensis J43,370,935567
Psychrobacter aquaticus,710,1354303
Psychrobacter arcticus,455,259536
Psychrobacter cryohalolentis,549,335284
Psychrobacter lutiphocae,794,1123033
Psychrobacter phenylpyruvicus,561,1123034
Psychrobacter sp. 1501,495,1002339
Psychrobacter sp. JCM18900,886,1298608
Psychrobacter sp. PAMC21119,659,1112209
Psychrobacter sp. PRwf1,504,349106
Psychrobacter sp. TB15,635,494416
Psychrobacter sp. TB67,640,1055815
Psychromonas ingrahamii,1138,357804
Psychromonas ossibalaenae,1832,1278307
Psychromonas sp. CNPT3,665,314282
Puniceispirillum marinum,621,488538
Pusillimonas noertemannii,1219,1231391
Pusillimonas sp. T77,830,1007105
Rahnella aquatilis CIP78.65,1408,745277
Rahnella aquatilis HX2,1226,1151116
Rahnella sp. Y9602,1295,741091
Ralstonia eutropha H16,2750,381666
Ralstonia eutropha JMP134,2753,264198
Ralstonia pickettii 12J,1466,402626
Ralstonia pickettii DTP0602,2367,1366050
Ralstonia solanacearum GMI1000,1421,267608
Ralstonia solanacearum Po82,659,1031711
Ralstonia solanacearum PSI07,1561,859657
Ralstonia sp. AU1208,2885,1235457
Ralstonia sp. PBA,1531,795666
Ramlibacter tataouinensis,1055,365046
Raoultella ornithinolytica,1501,1286170
Raphidiopsis brookii,1046,533247
Rathayibacter toxicus,261,1123052
Regiella insecticola,464,663321
Renibacterium salmoninarum,466,288705
Reyranella massiliensis,2315,1205680
Rheinheimera baltica,1816,1123053
Rheinheimera perlucida,1723,1123054
Rheinheimera sp. A13L,1891,506534
Rhizobiales bacterium YIM77505,1507,1411123
Rhizobium alamii,3242,492774
Rhizobium etli CFN42,1228,347834
Rhizobium etli CIAT652,1398,491916
Rhizobium etli mimosae,1206,1432050
Rhizobium gallicum,3016,1041138
Rhizobium giardinii,2999,1041139
Rhizobium grahamii,2049,990285
Rhizobium larrymoorei,1894,1336249
Rhizobium leguminosarum 248,2896,936136
Rhizobium leguminosarum 3841,1613,216596
Rhizobium leguminosarum CB782,904,1033991
Rhizobium leguminosarum GB30,2907,1041142
Rhizobium leguminosarum WSM2304,1589,395492
Rhizobium leucaenae,2912,1041147
Rhizobium mesoamericanum,2772,1211777
Rhizobium mongolense,2776,1079460
Rhizobium rubi,2244,1220582
Rhizobium selenitireducens,1946,1336235
Rhizobium sp. 2MFCol31,2439,1246459
Rhizobium sp. CCGE510,2090,1132836
Rhizobium sp. CF080,3264,1144310
Rhizobium sp. CF097,2980,1500301
Rhizobium sp. CF122,80,1144312
Rhizobium sp. CF394,2908,1500304
Rhizobium sp. IBUN,2620,1042326
Rhizobium sp. LPU83,853,348824
Rhizobium sp. OK494,3402,1500306
Rhizobium sp. R1200B2,2045,1509405
Rhizobium sp. YR295,2806,1500257
Rhizobium sp. YR519,2671,1500259
Rhizobium sp. YS1r,366,1532558
Rhizobium sullae,3179,1041146
Rhizobium tropici,740,698761
Rhizobium undicola,1816,1370122
Rhizobium vignae,2921,690585
Rhodanobacter denitrificans,694,666685
Rhodanobacter fulvus,1361,1163408
Rhodanobacter spathiphylli,1137,1163407
Rhodanobacter thiooxydans,1505,1163409
Rhodobacter capsulatus,830,272942
Rhodobacter sp. SW2,967,371731
Rhodobacter sphaeroides 241,1154,272943
Rhodobacter sphaeroides ATCC17025,920,349102
Rhodobacteraceae bacterium HIMB11,1360,1366046
Rhodobacteraceae bacterium HTCC2083,1753,314270
Rhodobacteraceae bacterium HTCC2150,1096,388401
Rhodobacteraceae bacterium KLH11,1593,467661
Rhodobacterales bacterium HTCC2255,1001,367336
Rhodobacterales bacterium Y4I,1825,439496
Rhodococcus defluvii,2294,1323361
Rhodococcus equi,1655,685727
Rhodococcus erythropolis,428,234621
Rhodococcus fascians,1533,1828
Rhodococcus jostii,3760,101510
Rhodococcus opacus,3078,37919
Rhodococcus pyridinivorans,1756,1435356
Rhodococcus rhodnii,1264,1273125
Rhodococcus rhodochrous,2689,1429046
Rhodococcus ruber,2537,1240349
Rhodococcus sp. AW25M09,2144,1268303
Rhodococcus sp. UNC23MFCrub11,1913,1449068
Rhodococcus sp. UNC363MFTsu51,2305,1449069
Rhodococcus triatomae,2395,1278078
Rhodoferax ferrireducens,1093,338969
Rhodoferax saidenbachensis,1312,614083
Rhodoluna lacicola,232,529884
Rhodomicrobium vannielii,749,648757
Rhodopseudomonas palustris BisA53,429,316055
Rhodopseudomonas palustris BisB18,1787,316056
Rhodopseudomonas palustris BisB5,1531,316057
Rhodopseudomonas palustris CGA009,1752,258594
Rhodopseudomonas palustris DX1,1536,652103
Rhodopseudomonas palustris HaA2,1478,316058
Rhodospirillales bacterium URHD0088,3211,1380394
Rhodospirillum centenum,1285,414684
Rhodospirillum photometricum,1224,1150469
Rhodospirillum rubrum,1307,269796
Rhodovibrio salinarum,1617,1089552
Rhodovulum sp. NI22,1097,1469613
Rhodovulum sp. PH10,1996,1187851
Rhodovulum sulfidophilum,755,1188256
Richelia intracellularis,717,1165094
Rickettsia akari,181,293614
Rickettsia australis,182,1105110
Rickettsia bellii OSU85389,184,391896
Rickettsia bellii RML369C,184,336407
Rickettsia canadensis,175,293613
Rickettsia felis,182,315456
Rickettsia helvetica,101,1144888
Rickettsia prowazekii,178,272947
Rickettsia rickettsii,178,452659
Rickettsia sibirica,116,272951
Rickettsia tamurae,119,334545
Rickettsia typhi,176,257363
Rickettsiales bacterium Ac37b,265,1528098
Rickettsiella grylli,372,59196
Riesia pediculicola,145,515618
Rivularia sp. PCC7116,1320,373994
Robiginitomaculum antarcticum,576,1123059
Roseibacterium elongatum,805,1294273
Roseibium sp. TrichSKD4,2154,744980
Roseivivax halodurans,192,1449350
Roseivivax isoporae,1943,1449351
Roseivivax sp. 22IIs10s,1823,1317118
Roseobacter denitrificans,926,375451
Roseobacter litoralis,918,391595
Roseobacter sp. AzwK3b,1588,351016
Roseobacter sp. CCS2,1285,391593
Roseobacter sp. GAI101,1844,391589
Roseobacter sp. MED193,1658,314262
Roseobacter sp. SK20926,1924,388739
Roseomonas aerilata,1764,1123060
Roseomonas gilardii,840,1336208
Roseomonas sp. B5,1744,1217720
Roseovarius mucosus,885,1288298
Roseovarius nubinhibens,1466,89187
Roseovarius sp. 217,370,314264
Roseovarius sp. MCTG156,2321,1354722
Roseovarius sp. TM1035,1688,391613
Rothia dentocariosa,296,762948
Rothia mucilaginosa,258,680646
Ruania albidiflava,1419,1123065
Rubidibacter lacunae,1450,582515
Rubritalea marina,777,1123070
Rubritepida flocculans,1156,1123072
Rubrivivax benzoatilyticus,1517,987059
Rubrivivax gelatinosus,1892,983917
Rubrobacter radiotolerans,476,42256
Rubrobacter xylanophilus,606,266117
Rudaea cellulosilytica,1512,1123073
Ruegeria conchae,1948,981384
Ruegeria halocynthiae,1657,985054
Ruegeria pomeroyi,873,246200
Ruegeria sp. R11,1629,439497
Ruegeria sp. TM1040,602,292414
Ruminobacter sp. RM87,464,1200567
Ruthia magnifica,309,413404
Saccharibacter floricola,427,1123227
Saccharibacter sp. AM169,135,1343158
Saccharomonospora azurea,1930,1114959
Saccharomonospora cyanea,1893,882082
Saccharomonospora glauca,1446,928724
Saccharomonospora marina,2195,882083
Saccharomonospora sp. CNQ490,1710,1137271
Saccharomonospora viridis,1034,471857
Saccharomonospora xinjiangensis,1299,882086
Saccharophagus degradans,1083,203122
Saccharopolyspora erythraea,1693,405948
Saccharopolyspora rectivirgula,1046,28042
Saccharopolyspora spinosa,1985,994479
Saccharospirillum impatiens,2133,1123228
Saccharothrix espanaensis,1194,1179773
Saccharothrix sp. NRRLB16314,3040,1463825
Saccharothrix syringae,4014,103733
Sagittula stellata,2016,388399
Salinarimonas rosea,2061,1123229
