167550.EV00_0276,EV00_0276,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1628,65.0
167550.EV00_0287,EV00_0287,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1639,64.1
167550.EV00_1776,EV00_1776,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_0460,64.0
167550.EV00_1467,EV00_1467,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_0151,63.6
167550.EV00_0541,EV00_0541,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1310,63.1
167550.EV00_1004,EV00_1004,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_0826,63.0
167550.EV00_0320,EV00_0320,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1672,62.9
167550.EV00_1389,EV00_1389,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_0073,62.9
167550.EV00_1199,EV00_1199,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1021,62.8
167550.EV00_1003,EV00_1003,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_0825,62.8
167550.EV00_0297,EV00_0297,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1649,61.3
167550.EV00_0290,EV00_0290,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1642,61.2
167550.EV00_0275,EV00_0275,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1627,61.1
167550.EV00_0354,EV00_0354,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1944,60.1
167550.EV00_0534,EV00_0534,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1303,59.8
167550.EV00_1468,EV00_1468,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_0152,59.8
167550.EV00_0154,EV00_0154,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1505,59.3
167550.EV00_1006,EV00_1006,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_0828,58.9
167550.EV00_1884,EV00_1884,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_0568,58.9
167550.EV00_0544,EV00_0544,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1313,58.3
167550.EV00_0529,EV00_0529,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1298,57.9
167550.EV00_0166,EV00_0166,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1517,57.8
167550.EV00_0284,EV00_0284,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1636,57.8
167550.EV00_0881,EV00_0881,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_0703,57.7
167550.EV00_0270,EV00_0270,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1622,57.0
167550.EV00_0282,EV00_0282,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1634,56.8
